订单编号,店铺,订单金额,广告花费,平台佣金,下单时间,备注
NEW-YP-20260201-0001,优品电商,1268.50,188.20,63.43,2026-02-01,首单优惠
NEW-YP-20260201-0002,优品电商,899.00,120.00,44.95,2026-02-01,
NEW-LG-20260202-0001,乐购网络,1560.00,260.00,78.00,2026-02-02,
NEW-LG-20260202-0002,乐购网络,420.00,55.00,21.00,2026-02-02,
NEW-YP-20260203-0001,优品电商,2380.00,360.00,119.00,2026-02-03,直播场次A
NEW-YP-20260203-0002,优品电商,680.00,98.00,34.00,2026-02-03,
NEW-MK-20260204-0001,美客旗舰,1980.00,288.00,99.00,2026-02-04,
NEW-MK-20260204-0002,美客旗舰,760.00,112.00,38.00,2026-02-04,
NEW-LG-20260205-0001,乐购网络,1320.00,205.00,66.00,2026-02-05,
NEW-YP-20260205-0001,优品电商,540.00,72.00,27.00,2026-02-05,
NEW-YP-20260206-0001,优品电商,1680.00,248.00,84.00,2026-02-06,
NEW-MK-20260206-0001,美客旗舰,920.00,130.00,46.00,2026-02-06,
NEW-LG-20260207-0001,乐购网络,1100.00,160.00,55.00,2026-02-07,
NEW-LG-20260207-0002,乐购网络,480.00,62.00,24.00,2026-02-07,
NEW-YP-20260208-0001,优品电商,2150.00,320.00,107.50,2026-02-08,
NEW-MK-20260208-0001,美客旗舰,1250.00,180.00,62.50,2026-02-08,
NEW-YP-20260209-0001,优品电商,980.00,145.00,49.00,2026-02-09,
NEW-LG-20260209-0001,乐购网络,760.00,106.00,38.00,2026-02-09,
NEW-MK-20260210-0001,美客旗舰,1420.00,218.00,71.00,2026-02-10,
NEW-YP-20260210-0001,优品电商,650.00,88.00,32.50,2026-02-10,
NEW-LG-20260211-0001,乐购网络,1790.00,270.00,89.50,2026-02-11,
NEW-MK-20260211-0001,美客旗舰,830.00,118.00,41.50,2026-02-11,
NEW-YP-20260212-0001,优品电商,1490.00,220.00,74.50,2026-02-12,
NEW-LG-20260212-0001,乐购网络,590.00,82.00,29.50,2026-02-12,
NEW-MK-20260213-0001,美客旗舰,2080.00,308.00,104.00,2026-02-13,
NEW-YP-20260213-0001,优品电商,730.00,96.00,36.50,2026-02-13,
NEW-LG-20260214-0001,乐购网络,1880.00,290.00,94.00,2026-02-14,情人节活动
NEW-MK-20260214-0001,美客旗舰,990.00,142.00,49.50,2026-02-14,
NEW-YP-20260215-0001,优品电商,1740.00,252.00,87.00,2026-02-15,
NEW-LG-20260215-0001,乐购网络,840.00,116.00,42.00,2026-02-15,
NEW-MK-20260216-0001,美客旗舰,1520.00,226.00,76.00,2026-02-16,
NEW-YP-20260216-0001,优品电商,620.00,86.00,31.00,2026-02-16,
NEW-LG-20260217-0001,乐购网络,1650.00,245.00,82.50,2026-02-17,
NEW-MK-20260217-0001,美客旗舰,780.00,108.00,39.00,2026-02-17,
NEW-YP-20260218-0001,优品电商,2230.00,334.00,111.50,2026-02-18,
NEW-LG-20260218-0001,乐购网络,910.00,128.00,45.50,2026-02-18,
NEW-MK-20260219-0001,美客旗舰,1340.00,196.00,67.00,2026-02-19,
NEW-YP-20260219-0001,优品电商,570.00,76.00,28.50,2026-02-19,
NEW-LG-20260220-0001,乐购网络,2010.00,305.00,100.50,2026-02-20,
NEW-MK-20260220-0001,美客旗舰,860.00,122.00,43.00,2026-02-20,
NEW-YP-20260221-0001,优品电商,1590.00,236.00,79.50,2026-02-21,
NEW-LG-20260221-0001,乐购网络,710.00,98.00,35.50,2026-02-21,
NEW-MK-20260222-0001,美客旗舰,1760.00,258.00,88.00,2026-02-22,
NEW-YP-20260222-0001,优品电商,930.00,134.00,46.50,2026-02-22,
NEW-LG-20260223-0001,乐购网络,1490.00,218.00,74.50,2026-02-23,
NEW-MK-20260223-0001,美客旗舰,640.00,90.00,32.00,2026-02-23,
NEW-YP-20260224-0001,优品电商,1870.00,282.00,93.50,2026-02-24,
NEW-LG-20260224-0001,乐购网络,1020.00,146.00,51.00,2026-02-24,
NEW-MK-20260225-0001,美客旗舰,1660.00,246.00,83.00,2026-02-25,
NEW-YP-20260225-0001,优品电商,780.00,108.00,39.00,2026-02-25,
NEW-LG-20260226-0001,乐购网络,2140.00,326.00,107.00,2026-02-26,
NEW-MK-20260226-0001,美客旗舰,950.00,136.00,47.50,2026-02-26,
NEW-YP-20260227-0001,优品电商,1710.00,254.00,85.50,2026-02-27,
NEW-LG-20260227-0001,乐购网络,690.00,96.00,34.50,2026-02-27,
NEW-MK-20260228-0001,美客旗舰,1940.00,292.00,97.00,2026-02-28,
NEW-YP-20260228-0001,优品电商,880.00,124.00,44.00,2026-02-28,
